mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__class_weight,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.004211235046386719,0.0005013942718505859,0.2850958565244279,0.2857142857142857,balanced,1,1,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 1}",180,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2826086956521739,0.2857142857142857,0.0004012346373953646,1.5078914929239175e-07,0.0012402148536741504,0.0
0.00731964111328125,0.0006015300750732422,0.424860853432282,0.42733506798724197,balanced,1,2,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 2}",179,0.425531914893617,0.4277950310559006,0.4254658385093168,0.4277992277992278,0.4192546583850932,0.42702702702702705,0.42857142857142855,0.42702702702702705,0.4254658385093168,0.42702702702702705,0.0007505456768012244,0.00020051005337382694,0.003039378082049226,0.00037727392040876116
0.017947912216186523,0.0013034820556640625,0.42733457019171306,0.42857142857142855,balanced,1,5,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 5}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.0011606180873524874,0.00024551536334104906,0.001520314586133952,0.0
0.035895681381225585,0.001804494857788086,0.42733457019171306,0.42857142857142855,balanced,1,10,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 10}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.0015406712965875826,0.000245495784643015,0.001520314586133952,0.0
0.07309460639953613,0.003308725357055664,0.42733457019171306,0.42857142857142855,balanced,1,20,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 20}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.003346268206838424,0.00040087746683335946,0.001520314586133952,0.0
0.10718512535095215,0.0044116020202636715,0.42733457019171306,0.42857142857142855,balanced,1,30,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 30}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.004511188207693617,0.00020070101478979194,0.001520314586133952,0.0
0.1500992774963379,0.00621638298034668,0.42733457019171306,0.42857142857142855,balanced,1,40,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 40}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.0047939145617903675,0.00040109167128476016,0.001520314586133952,0.0
0.19662299156188964,0.007520246505737305,0.42733457019171306,0.42857142857142855,balanced,1,50,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 50}",172,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.01727485709294612,0.001677815207888408,0.001520314586133952,0.0
0.3502316474914551,0.014638900756835938,0.42795299938157083,0.42857142857142855,balanced,1,100,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 100}",171,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4254658385093168,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.013390803891467651,0.001396698876176811,0.001240214853674128,0.0
0.006818056106567383,0.0006015777587890625,0.4267161410018553,0.42733506798724197,balanced,2,1,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 1}",178,0.425531914893617,0.4277950310559006,0.4254658385093168,0.4277992277992278,0.42857142857142855,0.42702702702702705,0.42857142857142855,0.42702702702702705,0.4254658385093168,0.42702702702702705,0.0021411292125624783,0.00020048637454771936,0.0015095718292951839,0.00037727392040876116
0.010126781463623048,0.0007020473480224609,0.5683364254792826,0.5705002518045996,balanced,2,2,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 2}",162,0.5714285714285714,0.5698757763975155,0.5683229813664596,0.5706563706563706,0.5714285714285714,0.5714285714285714,0.5683229813664596,0.5706563706563706,0.562111801242236,0.5698841698841699,0.000862016191412666,0.00024574905727732125,0.0034007493932749593,0.0005796636926254624
