mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__class_weight,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.020253562927246095,0.002311992645263672,0.11751399440223911,0.18071428571428574,balanced,1,1,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 1}",84,0.1875,0.17857142857142858,0.1,0.2,0.1,0.17500000000000002,0.09999999999999998,0.175,0.1,0.17500000000000002,0.00040106774793767036,0.0004108560061067452,0.03501049143148749,0.009741558354989898
0.03308782577514648,0.003309011459350586,0.1029293956763142,0.16958237267272808,balanced,1,2,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 2}",122,0.17368421052631577,0.20067567567567565,0.021840192387634665,0.17924464434758416,0.1,0.17,0.10909090909090909,0.1616279069767442,0.11,0.13636363636363638,0.00044840742088961163,0.00024576841226502783,0.04833943790195904,0.021104906370879122
0.07238707542419434,0.0059206485748291016,0.1445727272144399,0.21154947570631183,balanced,1,5,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 5}",20,0.24407894736842106,0.22403474903474901,0.15714285714285714,0.28517241379310343,0.10414937759336099,0.18308290155440413,0.10912863070539418,0.18339378238341966,0.10824659727782227,0.1820635317658829,0.001030959039121009,0.00020324833578855606,0.05343432161812887,0.04012163721264193
0.1387629508972168,0.009856033325195312,0.12112507539915082,0.18025508407873755,balanced,1,10,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 10}",58,0.20657894736842108,0.22046332046332046,0.08987595038015207,0.22073591709155407,0.1,0.17,0.10909090909090909,0.1616279069767442,0.1,0.12844827586206894,0.0011653031603231145,0.00020898235894672404,0.04317855960654624,0.03575327668457736
0.27217650413513184,0.018053197860717775,0.11867093354811492,0.1816733472041934,balanced,1,20,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 20}",77,0.20657894736842108,0.22046332046332046,0.07760769379522144,0.2278272327188333,0.1,0.17,0.10909090909090909,0.1616279069767442,0.1,0.12844827586206894,0.0033843875307350913,0.00045452316018015833,0.04518686546365151,0.037432173599133686
0.3991203784942627,0.02538132667541504,0.11867733534291562,0.18299476525067454,balanced,1,30,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 30}",76,0.20657894736842108,0.22046332046332046,0.07763969637126894,0.23443432295123912,0.1,0.17,0.10909090909090909,0.1616279069767442,0.1,0.12844827586206894,0.003916459655753433,0.0006753237628274676,0.04518104931773487,0.03911686794003946
0.5264857292175293,0.033594369888305664,0.12786247555918065,0.1826323582046489,balanced,1,40,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 40}",32,0.13157894736842105,0.19189189189189187,0.19860119083634753,0.2611937162925395,0.1,0.17,0.10909090909090909,0.1616279069767442,0.1,0.12844827586206894,0.004386185363121997,0.0011359559624704143,0.03721072356117046,0.04425901981115812
0.6733061313629151,0.04652934074401856,0.1237926343312993,0.17743882967920066,balanced,1,50,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 50}",45,0.13157894736842105,0.19189189189189187,0.17270382787670535,0.2548927403319649,0.1,0.17,0.11464646464646462,0.1419612403100775,0.1,0.12844827586206894,0.016731596528943096,0.007675673940414417,0.027088435272838312,0.04454676010773368
1.3155395984649658,0.08303360939025879,0.12683332444891945,0.17719643643625058,balanced,1,100,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 100}",35,0.13157894736842105,0.19189189189189187,0.18790423959800856,0.2536807741172145,0.1,0.17,0.11464646464646462,0.1419612403100775,0.1,0.12844827586206894,0.01643345554878668,0.0024350520766615092,0.0326834030748502,0.04412595885494508
0.024151325225830078,0.0025164604187011717,0.08701849048155497,0.25047729099711064,balanced,2,1,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 1}",126,0.07368421052631578,0.2506756756756758,0.11772709083633456,0.27295077046227734,0.1,0.22,0.08366013071895423,0.249669099756691,0.06,0.2590909090909091,0.00020018768823020967,1.1947031054732154e-05,0.020151398384554823,0.01737129524256279
0.04121246337890625,0.003509998321533203,0.13024382882332244,0.23675242594709536,balanced,2,2,"{'Boost__base_estimator__class_weight': 'balanced', 'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 2}",30,0.1331601540560058,0.2234779204762589,0.10220654880308652,0.2597963486839393,0.17937433392052093,0.2489921561779865,0.09490825489715608,0.20922112983978933,0.14155822267205706,0.24227457455750276,0.0006643116488858509,0.00031620563704304945,0.030282218410662236,0.018141181093553307
