param_SVM__max_iter,test acc,train acc
1,0.847041847041847,0.847247990105133
2,0.8946608946608947,0.8484848484848485
4,0.8311688311688312,0.7915893630179345
8,0.886002886002886,0.865182436611008
16,0.8744588744588745,0.808286951144094
32,0.8946608946608947,0.9035250463821892
64,0.9264069264069265,0.9016697588126159
128,0.9163059163059163,0.9140383426097711
256,0.9191919191919192,0.9202226345083488
512,0.9336219336219336,0.9152752009894867
1024,0.9336219336219336,0.9183673469387755
2048,0.9336219336219336,0.9208410636982065
2100,0.935064935064935,0.9202226345083488
2200,0.935064935064935,0.9202226345083488
2300,0.9336219336219336,0.9214594928880643
2400,0.9336219336219336,0.9214594928880643
2500,0.935064935064935,0.9208410636982065
2600,0.9336219336219336,0.9202226345083488
2700,0.935064935064935,0.9214594928880643
2800,0.935064935064935,0.9214594928880643
2900,0.9336219336219336,0.9214594928880643
3000,0.9336219336219336,0.9214594928880643
