,0,1,2,3,4
10,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,0.9888248847926266
130,1.0,1.0,1.0,1.0,1.0
210,1.0,1.0,0.9976635514018691,0.9976635514018691,0.9976635514018691
340,1.0,0.9970760233918128,0.9963450292397661,0.9907614781634938,0.9864843847206669
550,0.9985801270871563,0.9849887035106014,0.9900395377128953,0.9756582377476541,0.9669300100413241
890,0.9780728661101405,0.9899074761487312,0.9809274794646852,0.9719918834610375,0.9737888286542093
1440,0.9475812608421069,0.9850678710249129,0.9681750347411033,0.9692283447123035,0.9737436169082399
2330,0.9350869678585761,0.9732153684111365,0.9393221501665099,0.9444516850914827,0.9444410871894164
3770,0.9260661096954607,0.9527337906876018,0.9108088226785201,0.9326780282698157,0.9097099379644986
6100,0.9157387628605698,0.9159193517642076,0.8795680727147656,0.858615478437564,0.8769381014619821
9870,0.9081402196445783,0.9222680509680117,0.8667087560023163,0.8394172686541846,0.8745541286643242
15970,0.8726814028364278,0.8729472693901731,0.9100286766882717,0.8413753421579437,0.8211306003129204
18757,0.8622778162536453,0.8653390730199408,0.8751201431783184,0.8376292879579585,0.8181090309542428
