,test,train
0.1,174.1197134231843,920.7013250166583
0.2,334.18711855503716,797.3072154670954
0.3,483.3201516377849,681.8271821819981
0.4,613.1171874041902,571.6375020950072
0.5,724.0041662578842,457.8496153869746
0.6,804.31901292365,344.1887585384393
0.7,842.9622213637813,245.0339118113552
0.8,817.830046979303,145.09367859084523
0.9,677.4541198099978,58.56373682188132
