,0,1,2,3,4
10,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0,1.0
340,1.0,1.0,1.0,1.0,1.0
550,1.0,1.0,1.0,1.0,1.0
890,1.0,1.0,1.0,1.0,1.0
1440,0.9978255829755938,0.9965168267778381,0.996389442732564,0.998194721366282,0.9988389422592794
2330,0.9583450554950128,0.9581024594147953,0.9679085253232235,0.9722465247399631,0.9628049965976476
3770,0.9240828351335417,0.928679328433759,0.9238869505576431,0.9277211188644361,0.929648267430071
6100,0.8972132430610039,0.9046819540726266,0.891983768352523,0.8954375391181297,0.9050541963169498
9870,0.8384248587271086,0.8382954871034859,0.8319182707764253,0.8376718571905294,0.8345913349367228
15970,0.7524087725386632,0.7579152146066879,0.7618976127544046,0.7503297536767365,0.7612852321138963
18757,0.7475002066324351,0.7334572398648236,0.741503070340994,0.7320137990693208,0.7414277828133433
