mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.016042566299438475,0.000601816177368164,0.865182436611008,0.871369817021991,0.01,{'SVM__C': 0.01},8,0.878419452887538,0.8742236024844721,0.8509316770186336,0.8664092664092664,0.8664596273291926,0.8749034749034749,0.8850931677018633,0.8656370656370657,0.84472049689441,0.8756756756756757,0.0012279265818449766,0.00020060570415112632,0.015451092748932572,0.004396424662325481
0.04401702880859375,0.0007017612457275391,0.8985776128633272,0.906922947792513,0.1,{'SVM__C': 0.10000000000000001},3,0.9027355623100304,0.9037267080745341,0.8975155279503105,0.9042471042471042,0.8913043478260869,0.915057915057915,0.9161490683229814,0.8988416988416988,0.8850931677018633,0.9127413127413128,0.01235130606521077,0.0002456904834245336,0.010581540434189539,0.006045059713615908
0.14729156494140624,0.0005013942718505859,0.9084724799010513,0.9196071848245762,1.0,{'SVM__C': 1.0},2,0.8996960486322189,0.922360248447205,0.9285714285714286,0.9096525096525097,0.906832298136646,0.9250965250965251,0.9130434782608695,0.9173745173745174,0.8944099378881988,0.9235521235521236,0.012257059197396896,3.015782985847835e-07,0.011840267022256651,0.0056099040850890675
0.14568748474121093,0.0007020950317382813,0.9103277674706246,0.9225457445022662,10.0,{'SVM__C': 10.0},1,0.9148936170212766,0.9262422360248447,0.9285714285714286,0.9158301158301159,0.9099378881987578,0.9289575289575289,0.906832298136646,0.915057915057915,0.8913043478260869,0.9266409266409267,0.007493796496685751,0.0002455154096464311,0.012043578717619682,0.005877291969537457
0.15842108726501464,0.0006019115447998047,0.8893011750154607,0.9078420345811649,100.0,{'SVM__C': 100.0},4,0.878419452887538,0.8967391304347826,0.9099378881987578,0.9073359073359073,0.8881987577639752,0.9173745173745174,0.8757763975155279,0.8911196911196911,0.8944099378881988,0.9266409266409267,0.006245767863341349,0.00020055787879621014,0.012278574039547397,0.013018709513586782
0.16604142189025878,0.0006016254425048828,0.8559059987631417,0.8609358737619607,1000.0,{'SVM__C': 1000.0},10,0.8054711246200608,0.7942546583850931,0.8633540372670807,0.8347490347490347,0.8850931677018633,0.9158301158301159,0.8416149068322981,0.8555984555984556,0.8850931677018633,0.9042471042471042,0.00591833647009549,0.0002008199904064904,0.030142040960529016,0.04483271919625589
0.16313343048095702,0.0007021427154541016,0.8577612863327149,0.8715108275977842,10000.0,{'SVM__C': 10000.0},9,0.8297872340425532,0.8618012422360248,0.8695652173913043,0.8648648648648649,0.8757763975155279,0.8864864864864865,0.8416149068322981,0.8432432432432433,0.8726708074534162,0.9011583011583012,0.0031003464712855986,0.00024567097421393584,0.018648729649265797,0.02020269408498804
0.1610280990600586,0.0006017684936523438,0.8676561533704391,0.8738467349336915,100000.0,{'SVM__C': 100000.0},7,0.878419452887538,0.8796583850931677,0.8757763975155279,0.8702702702702703,0.8478260869565217,0.8532818532818532,0.8757763975155279,0.8764478764478765,0.860248447204969,0.8895752895752895,0.003862685030872967,0.00020062931222851804,0.011792593281376372,0.012030246071544059
0.17456402778625488,0.0005016803741455078,0.849721706864564,0.8631517542387108,1000000.0,{'SVM__C': 1000000.0},11,0.8358662613981763,0.843944099378882,0.8850931677018633,0.8818532818532818,0.8354037267080745,0.8833976833976834,0.8695652173913043,0.8671814671814672,0.8229813664596274,0.8393822393822394,0.004823348595795131,2.78041453115716e-07,0.02344845151501761,0.018492199494684426
0.16052675247192383,0.0008023738861083985,0.8688930117501547,0.8706018129931173,10000000.0,{'SVM__C': 10000000.0},5,0.9057750759878419,0.8781055900621118,0.860248447204969,0.8694980694980695,0.8695652173913043,0.8996138996138996,0.8540372670807453,0.8501930501930502,0.8540372670807453,0.8555984555984556,0.004946879170595958,0.00024574882597044976,0.01948420820310475,0.017554739657637493
0.16243457794189453,0.000701904296875,0.8682745825602969,0.8861683733422865,100000000.0,{'SVM__C': 100000000.0},6,0.8419452887537994,0.8486024844720497,0.8726708074534162,0.8903474903474904,0.8913043478260869,0.9057915057915058,0.8726708074534162,0.8718146718146718,0.8633540372670807,0.9142857142857143,0.006722965505184368,0.00024567097421393584,0.01609908722067378,0.02370798161778678
0.15962448120117187,0.0006019115447998047,0.847247990105133,0.8572612053046835,1000000000.0,{'SVM__C': 1000000000.0},12,0.817629179331307,0.8237577639751553,0.8757763975155279,0.8625482625482626,0.9037267080745341,0.9104247104247104,0.7577639751552795,0.7783783783783784,0.8819875776397516,0.9111969111969112,0.006079395154291064,0.00020043857743937932,0.05301544641796711,0.051202251094738846
0.17376174926757812,0.0007022380828857422,0.8311688311688312,0.8524508981030721,10000000000.0,{'SVM__C': 10000000000.0},13,0.7963525835866262,0.8027950310559007,0.8074534161490683,0.844015444015444,0.8664596273291926,0.8903474903474904,0.8136645962732919,0.8332046332046332,0.8726708074534162,0.8918918918918919,0.01087608699198777,0.00024559329219980326,0.03179064508087128,0.0343482879491865
