mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0022115707397460938,0.0007964611053466797,0.6679035250463822,0.6550285378546248,1,{'SVM__max_iter': 1},22,0.6869300911854104,0.6156832298136646,0.6521739130434783,0.6378378378378379,0.5993788819875776,0.6447876447876448,0.6583850931677019,0.640926640926641,0.7422360248447205,0.7359073359073359,0.00024266041057523883,0.0002519770424954321,0.04665091091465979,0.041686191464640254
0.002612590789794922,0.0010074615478515626,0.6796536796536796,0.6747985563202954,2,{'SVM__max_iter': 2},21,0.6291793313069909,0.6172360248447205,0.6739130434782609,0.6710424710424711,0.7546583850931677,0.7513513513513513,0.6801242236024845,0.654054054054054,0.6614906832298136,0.6803088803088803,0.00019841193579848176,9.969888462603949e-06,0.04136333235032005,0.04392853668924329
0.0035089969635009764,0.0015039920806884765,0.7359307359307359,0.7377656538526104,4,{'SVM__max_iter': 4},20,0.723404255319149,0.718944099378882,0.7453416149068323,0.7559845559845559,0.6801242236024845,0.6494208494208494,0.8260869565217391,0.8362934362934363,0.7049689440993789,0.7281853281853282,7.294205923451593e-07,2.78041453115716e-07,0.049791838178876134,0.06048221280737824
0.0048125267028808595,0.001904916763305664,0.8286951144094001,0.8261054221923787,8,{'SVM__max_iter': 8},19,0.878419452887538,0.8618012422360248,0.7888198757763976,0.7691119691119691,0.8540372670807453,0.8447876447876448,0.8043478260869565,0.8054054054054054,0.8167701863354038,0.8494208494208494,0.00024551527073025876,0.00020072484953765672,0.033074861518504584,0.03418646090353132
0.00662837028503418,0.0028069019317626953,0.852195423623995,0.8660861171730737,16,{'SVM__max_iter': 16},18,0.8480243161094225,0.843944099378882,0.8944099378881988,0.9057915057915058,0.84472049689441,0.8355212355212355,0.8012422360248447,0.833976833976834,0.8726708074534162,0.9111969111969112,0.0001953643561418817,0.0002449950618445662,0.031145135710007005,0.03483385890930635
0.009124517440795898,0.0031035900115966796,0.8676561533704391,0.8800352526439482,32,{'SVM__max_iter': 32},17,0.8753799392097265,0.889751552795031,0.8944099378881988,0.9204633204633205,0.9006211180124224,0.8810810810810811,0.8229813664596274,0.8525096525096525,0.84472049689441,0.8563706563706563,0.0003693053766678948,0.0002033032900328145,0.02955098856669267,0.02468846164865138
0.012232494354248048,0.003414821624755859,0.9072356215213359,0.9163891220412961,64,{'SVM__max_iter': 64},16,0.9361702127659575,0.9456521739130435,0.9099378881987578,0.9057915057915058,0.8571428571428571,0.857915057915058,0.9472049689440993,0.9637065637065637,0.8850931677018633,0.9088803088803089,0.001695471782503486,0.00037760124281094315,0.032973320831845176,0.03656001753637004
0.012827920913696288,0.0033172130584716796,0.922077922077922,0.9324811146550278,128,{'SVM__max_iter': 128},15,0.9665653495440729,0.9736024844720497,0.9037267080745341,0.9027027027027027,0.9472049689440993,0.949034749034749,0.906832298136646,0.9312741312741313,0.8850931677018633,0.9057915057915058,0.0009224890528796838,0.000246847668082189,0.030234813525482872,0.026704066040128413
0.015140056610107422,0.0034094333648681642,0.9406307977736549,0.9648934027194898,256,{'SVM__max_iter': 256},14,0.9452887537993921,0.9549689440993789,0.9503105590062112,0.9613899613899614,0.9658385093167702,0.9837837837837838,0.9285714285714286,0.972972972972973,0.9130434782608695,0.9513513513513514,0.001466555669188877,0.00020065358609689526,0.018169241864718147,0.011968977295861579
0.015445756912231445,0.003515005111694336,0.961038961038961,0.98963404398187,512,{'SVM__max_iter': 512},13,0.9574468085106383,0.9829192546583851,0.9627329192546584,0.9845559845559846,0.9627329192546584,0.9915057915057915,0.9565217391304348,0.9922779922779923,0.9658385093167702,0.9969111969111969,0.0006581927781349016,1.0729365865553677e-05,0.003524033035199591,0.005183163885780486
0.01663970947265625,0.003203296661376953,0.9635126777983921,0.996597280510324,1024,{'SVM__max_iter': 1024},1,0.9726443768996961,0.9953416149068323,0.9627329192546584,0.9969111969111969,0.9596273291925466,0.9961389961389961,0.9565217391304348,0.9976833976833976,0.9658385093167702,0.9969111969111969,0.0014578802462226444,0.00023965788134198916,0.005559057034548227,0.0007954191599295437
0.016645145416259766,0.0033987998962402345,0.9622758194186766,0.9964436797045492,2048,{'SVM__max_iter': 2048},3,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9976833976833976,0.9627329192546584,0.9969111969111969,0.0007373589616251541,0.00019581691651752688,0.006243760759702434,0.0010487345008768805
0.0171450138092041,0.0032135009765625,0.9628942486085343,0.9965981198589894,2100,{'SVM__max_iter': 2100},2,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9984555984555985,0.9658385093167702,0.9969111969111969,0.0008023563548472902,0.00025132433320007916,0.00640999602731348,0.001256254580399491
0.016744518280029298,0.0032083988189697266,0.9616573902288188,0.9964436797045492,2200,{'SVM__max_iter': 2200},12,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9976833976833976,0.9596273291925466,0.9969111969111969,0.0006800962012274623,0.00024576831974959176,0.00632117975896693,0.0010487345008768805
0.016744661331176757,0.0032128810882568358,0.9622758194186766,0.9965981198589894,2300,{'SVM__max_iter': 2300},3,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9984555984555985,0.9627329192546584,0.9969111969111969,0.0007503863868336628,0.00024233544627988958,0.006243760759702434,0.001256254580399491
0.01764707565307617,0.0032085895538330076,0.9622758194186766,0.9964436797045492,2400,{'SVM__max_iter': 2400},3,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9976833976833976,0.9627329192546584,0.9969111969111969,0.0013231558344464745,0.0002458074229209923,0.006243760759702434,0.0010487345008768805
