param_SVM__max_iter,test acc,train acc
1,0.6118326118326118,0.6307977736549165
2,0.6262626262626263,0.6530612244897959
4,0.7864357864357865,0.8014842300556586
8,0.7662337662337663,0.7816944959802102
16,0.7662337662337663,0.7854050711193569
32,0.8759018759018758,0.8824984539270253
64,0.9393939393939394,0.9573283858998145
128,0.9321789321789322,0.9325912183055041
256,0.9033189033189033,0.9233147804576376
512,0.9538239538239538,0.9764996907854051
1024,0.9696969696969697,0.9950525664811379
2048,0.9696969696969697,0.9962894248608535
2100,0.9696969696969697,0.9962894248608535
2200,0.9696969696969697,0.9962894248608535
2300,0.9696969696969697,0.9962894248608535
2400,0.9696969696969697,0.9962894248608535
2500,0.9696969696969697,0.9962894248608535
2600,0.9696969696969697,0.9962894248608535
2700,0.9696969696969697,0.9962894248608535
2800,0.9696969696969697,0.9962894248608535
2900,0.9696969696969697,0.9962894248608535
3000,0.9696969696969697,0.9962894248608535
