,0,1,2,3,4
10,0.5833333333333334,0.25,0.1875,0.25,0.25
20,0.3055555555555555,0.39285714285714285,0.3714285714285714,0.3214285714285714,0.5714285714285714
30,0.3277777777777777,0.25,0.25,0.25,0.26666666666666666
50,0.196415770609319,0.23642439431913106,0.23642439431913106,0.21971595655806178,0.23642439431913106
80,0.19999999999999993,0.3235215053763441,0.3275537634408602,0.29676459293394775,0.2927323348694316
130,0.1648351648351649,0.17055485498108447,0.17351040353089534,0.16708701134930645,0.168781525851198
210,0.1723985890652557,0.11755085211654757,0.12218251786695988,0.15669323804288074,0.12101429356789443
340,0.19431643625192022,0.11787669528431007,0.11876322010700509,0.11787669528431007,0.1190742814483016
550,0.12225883013087856,0.13276633646159194,0.1384037191518943,0.1348409801876955,0.13669114239369712
890,0.11802562609202095,0.1253675493234535,0.12561723721359086,0.126016334029902,0.12636630088400283
1440,0.1260247539791032,0.12413826959096129,0.12414557025758768,0.1247089803234447,0.1236826072946247
2330,0.13777771329996227,0.1325945367940119,0.1370297462817148,0.1451710897248955,0.1386337124526101
3770,0.13353443066027373,0.13208190102565567,0.12914653784219002,0.12900563607085347,0.1302066559312936
6100,0.12922357873845297,0.1169892622025268,0.134157440720384,0.12873071299243563,0.12945373886688127
9870,0.11699777618319639,0.10947503717465819,0.11464917836852649,0.1225751209565261,0.12127328540427813
15970,0.12154177351667962,0.11252054998227394,0.13547098893062556,0.11932718904793654,0.1184765910236522
18757,0.11780827421605285,0.11249719143992361,0.12208730576823795,0.11664790944811783,0.19518484431586475
