param_MLP__max_iter,test acc,train acc
1,0.10816182344491604,0.10805671593112617
2,0.11645516577769094,0.11739433937708393
4,0.11732091498343958,0.11864316452095092
8,0.11690322991253883,0.1297060798182202
16,0.1361167508214607,0.14589408725418931
32,0.21043372970667526,0.28115582778861653
64,0.3840076920235474,0.5366795329174959
128,0.5009969256197742,0.65517956680363
256,0.5009969256197742,0.65517956680363
512,0.5009969256197742,0.65517956680363
1024,0.5009969256197742,0.65517956680363
2048,0.5009969256197742,0.65517956680363
4096,0.5009969256197742,0.65517956680363
