mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.09436154365539551,0.014050149917602539,0.8361162646876933,0.84862262884002,0.01,{'SVM__C': 0.01},13,0.8480243161094225,0.8330745341614907,0.8478260869565217,0.844015444015444,0.8229813664596274,0.850965250965251,0.8478260869565217,0.8501930501930502,0.8136645962732919,0.8648648648648649,0.00974286791306988,0.001999127457341286,0.014771484472253602,0.010341506010971127
0.03629913330078125,0.009619760513305663,0.8794063079777366,0.8831139835487661,0.1,{'SVM__C': 0.10000000000000001},12,0.8936170212765957,0.8804347826086957,0.8850931677018633,0.8818532818532818,0.8819875776397516,0.8826254826254826,0.8881987577639752,0.8787644787644787,0.8478260869565217,0.8918918918918919,0.00039430182157518235,0.00018590702426546984,0.01621259531828906,0.004582051644038424
0.018654870986938476,0.0056149959564208984,0.9332096474953617,0.9432516367298976,1.0,{'SVM__C': 1.0},11,0.9452887537993921,0.9363354037267081,0.9440993788819876,0.9428571428571428,0.9440993788819876,0.9413127413127413,0.9347826086956522,0.9444015444015444,0.8975155279503105,0.9513513513513514,0.00021204961828626888,0.00020218401578651432,0.018196677107505218,0.004871896641166008
0.015648365020751953,0.003910732269287109,0.9573283858998145,0.9774282356891053,10.0,{'SVM__C': 10.0},3,0.9726443768996961,0.9782608695652174,0.9658385093167702,0.976061776061776,0.9565217391304348,0.9791505791505791,0.9658385093167702,0.9768339768339769,0.9254658385093167,0.9768339768339769,0.0005774324140443993,0.00020060553413569276,0.01669930430768691,0.0011165343933662824
0.01594223976135254,0.003609895706176758,0.95856524427953,0.9924231995971127,100.0,{'SVM__C': 100.0},2,0.9635258358662614,0.9914596273291926,0.9565217391304348,0.9922779922779923,0.9627329192546584,0.9907335907335907,0.9596273291925466,0.9953667953667954,0.9503105590062112,0.9922779922779923,0.0005848524202881609,0.0002007487267607733,0.0048052829776507825,0.0015805173845005972
0.017551422119140625,0.003108692169189453,0.9622758194186766,0.9965981198589894,1000.0,{'SVM__C': 1000.0},1,0.9726443768996961,0.9961180124223602,0.9627329192546584,0.9945945945945946,0.9596273291925466,0.9969111969111969,0.953416149068323,0.9984555984555985,0.9627329192546584,0.9969111969111969,0.000716297932143761,0.0001881053630788135,0.006243760759702434,0.001256254580399491
0.025166654586791994,0.003003358840942383,0.956091527520099,0.9987619607184826,10000.0,{'SVM__C': 10000.0},4,0.9635258358662614,0.9976708074534162,0.9627329192546584,0.9976833976833976,0.9658385093167702,0.9992277992277993,0.9409937888198758,0.9992277992277993,0.9472049689440993,1.0,0.002443714394665666,9.300158393199843e-06,0.010003194615392204,0.0009295876467145643
0.03119382858276367,0.0030120372772216796,0.9554730983302412,1.0,100000.0,{'SVM__C': 100000.0},5,0.9483282674772037,1.0,0.9596273291925466,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.005291803842148523,1.155737597276653e-05,0.005099368196414368,0.0
0.032302570343017575,0.0030072212219238283,0.9548546691403834,1.0,1000000.0,{'SVM__C': 1000000.0},6,0.9483282674772037,1.0,0.9565217391304348,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.00664453733482857,1.3093500344987852e-06,0.0047332328943927,0.0
0.03138298988342285,0.0029077529907226562,0.9548546691403834,1.0,10000000.0,{'SVM__C': 10000000.0},6,0.9483282674772037,1.0,0.9565217391304348,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.004422969258555201,0.00020051016677143834,0.0047332328943927,0.0
0.03168439865112305,0.0031081676483154298,0.9548546691403834,1.0,100000000.0,{'SVM__C': 100000000.0},6,0.9483282674772037,1.0,0.9565217391304348,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.004588444188287355,0.00020055776542557568,0.0047332328943927,0.0
0.03078184127807617,0.0029076576232910157,0.9548546691403834,1.0,1000000000.0,{'SVM__C': 1000000000.0},6,0.9483282674772037,1.0,0.9565217391304348,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.0044117526591253,0.0002005815718526227,0.0047332328943927,0.0
0.03099794387817383,0.0031031131744384765,0.9548546691403834,1.0,10000000000.0,{'SVM__C': 10000000000.0},6,0.9483282674772037,1.0,0.9565217391304348,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.004078779021223915,0.0002044470998112613,0.0047332328943927,0.0
