,0,1,2,3,4
10,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
30,1.0,0.9285714285714287,1.0,1.0,1.0
50,0.9444444444444444,1.0,1.0,1.0,1.0
80,0.9776334776334774,0.9841269841269842,0.9841269841269842,0.9841269841269842,0.9841269841269842
130,0.9647770219198791,0.9478458049886621,0.9478458049886621,0.9478458049886621,0.937641723356009
210,0.9486245229799236,0.9314855731564656,0.9311206762398445,0.920903562574455,0.9311206762398445
340,0.9575914386759955,0.9407184305056645,0.930552738336714,0.9330157925239061,0.9300396020477156
550,0.916204519268951,0.9157356967915974,0.9412542452720659,0.9392972981096392,0.9412542452720659
890,0.932612955641919,0.9209529269358017,0.9424292428720121,0.9186445446737543,0.9172705103412399
1212,0.9267823094508487,0.9145588975871352,0.9236126109409522,0.9136223284062523,0.9246611186575673
