mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,param_SVM__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
5.290225791931152,1.4036585807800293,0.10692417910359614,0.11011999113106245,0.01,3000,"{'SVM__C': 0.01, 'SVM__max_iter': 3000}",11,0.10613890839354609,0.11053755026928176,0.10637388917831282,0.10634277842327523,0.10633228763203395,0.1097621587458903,0.1082525265495415,0.11244703729385629,0.10752515178730997,0.1115104309230087,0.024688690647243546,0.017631508158751204,0.0008240277992494427,0.002093714505297164
5.955653047561645,1.491641139984131,0.10595389900232398,0.10929024735392519,0.1,3000,"{'SVM__C': 0.10000000000000001, 'SVM__max_iter': 3000}",12,0.10687593905486723,0.11059372856878417,0.10530278148995448,0.10926303157764454,0.10441083980762116,0.10929559150751685,0.10719900448660813,0.10941321468612596,0.10598115113138175,0.10788567042955442,0.06855170582965024,0.008331839888639603,0.0010204698979829963,0.0008588119511522697
6.019770097732544,1.5059612274169922,0.10438770551534442,0.10870480399887736,1.0,3000,"{'SVM__C': 1.0, 'SVM__max_iter': 3000}",13,0.10529987466684788,0.10862829762959793,0.10412398921832884,0.1106404909108928,0.10422389710601222,0.10826501207954398,0.10360934030243059,0.10793573222511717,0.10468070539489638,0.10805448714923503,0.06656018818695068,0.01394679349610351,0.0005692990644057021,0.000996045920258951
5.928980970382691,1.5133816242218017,0.1233736327230749,0.360303785272029,10.0,3000,"{'SVM__C': 10.0, 'SVM__max_iter': 3000}",10,0.14206551950373103,0.35534726917040543,0.11410630427270373,0.3327557195899768,0.12181562479300881,0.3823426986150688,0.12350959798179531,0.3796762980314246,0.11535197333807314,0.3513969409532694,0.027580696759983023,0.008385968337610903,0.010023058323600677,0.01856772900686511
5.948029232025147,1.5686490535736084,0.14039130960786456,0.7341963032928015,100.0,3000,"{'SVM__C': 100.0, 'SVM__max_iter': 3000}",1,0.15551342026079043,0.7314042347973981,0.13859125444266587,0.7378303992575186,0.14716961962464278,0.7361927200851859,0.13122341761132744,0.7297375369494057,0.129433319418126,0.7358166253744991,0.04253536923587558,0.01369031255941911,0.009818908095049622,0.003082013008608092
5.879707336425781,1.5392032623291017,0.13835264084049984,0.7473683470482035,1000.0,3000,"{'SVM__C': 1000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.02748570309100377,0.009350361140762825,0.00608056267496565,0.0037082559531033334
5.845637941360474,1.5518818855285645,0.13835264084049984,0.7473683470482035,10000.0,3000,"{'SVM__C': 10000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.021414124237300956,0.01063652295308321,0.00608056267496565,0.0037082559531033334
5.872208929061889,1.5743995189666748,0.13835264084049984,0.7473683470482035,100000.0,3000,"{'SVM__C': 100000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.038324627724564624,0.03975485783486114,0.00608056267496565,0.0037082559531033334
5.887020015716553,1.5554645538330079,0.13835264084049984,0.7473683470482035,1000000.0,3000,"{'SVM__C': 1000000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.04479109498956228,0.024491594223505313,0.00608056267496565,0.0037082559531033334
5.9076042652130125,1.5511749744415284,0.13835264084049984,0.7473683470482035,10000000.0,3000,"{'SVM__C': 10000000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.08309665921720516,0.006148005152625501,0.00608056267496565,0.0037082559531033334
5.896444082260132,1.5785815715789795,0.13835264084049984,0.7473683470482035,100000000.0,3000,"{'SVM__C': 100000000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.04406452189507312,0.019757343276360015,0.00608056267496565,0.0037082559531033334
5.881494951248169,1.5757190227508544,0.13835264084049984,0.7473683470482035,1000000000.0,3000,"{'SVM__C': 1000000000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.029150034450049402,0.034575729225924216,0.00608056267496565,0.0037082559531033334
5.887603235244751,1.5513720989227295,0.13835264084049984,0.7473683470482035,10000000000.0,3000,"{'SVM__C': 10000000000.0, 'SVM__max_iter': 3000}",2,0.14797729525410602,0.7539098065974551,0.13522673048500194,0.7445302334449003,0.14190240005213436,0.7472952820247624,0.13641911264542506,0.7431746123673454,0.13022260985882916,0.7479318008065542,0.06326423006065632,0.01226155730290283,0.00608056267496565,0.0037082559531033334
