mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.001804685592651367,0.0063169002532958984,0.9598021026592455,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",2,0.9604863221884499,1.0,0.9751552795031055,1.0,0.9782608695652174,1.0,0.953416149068323,1.0,0.9316770186335404,1.0,0.00024565151898962216,0.0004015565157396701,0.016748891460507204,0.0
0.0018046379089355468,0.006216287612915039,0.9598021026592455,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",2,0.9604863221884499,1.0,0.9751552795031055,1.0,0.9782608695652174,1.0,0.953416149068323,1.0,0.9316770186335404,1.0,0.00024571000033985434,0.0002454764915224483,0.016748891460507204,0.0
0.0016985416412353515,0.007826852798461913,0.9548546691403834,0.9757251972469364,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",4,0.9513677811550152,0.9743788819875776,0.9751552795031055,0.972972972972973,0.9565217391304348,0.9722007722007722,0.9503105590062112,0.9768339768339769,0.9409937888198758,0.9822393822393822,0.0002390077178508642,0.00039666504879539387,0.011289983116152794,0.003618642657855275
0.0018053054809570312,0.007921171188354493,0.9604205318491033,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",1,0.9604863221884499,1.0,0.9751552795031055,1.0,0.9658385093167702,1.0,0.9503105590062112,1.0,0.9503105590062112,1.0,0.000246158055882133,0.00037497979332578777,0.009475683268138215,0.0
0.0018143177032470704,0.008323097229003906,0.9443413729128015,0.9652098371663589,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",12,0.939209726443769,0.9619565217391305,0.968944099378882,0.9683397683397683,0.9503105590062112,0.9652509652509652,0.9347826086956522,0.9590733590733591,0.9285714285714286,0.9714285714285714,0.0002536716048224143,0.00040078214489905643,0.01416707130937266,0.0043979822907453375
0.00171051025390625,0.008321428298950195,0.9511440940012369,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",6,0.9452887537993921,1.0,0.968944099378882,1.0,0.953416149068323,1.0,0.953416149068323,1.0,0.9347826086956522,1.0,0.00024095344550251248,0.00024598510811430413,0.011199699871780704,0.0
0.001804494857788086,0.010327529907226563,0.9375386518243661,0.9534656706395838,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",18,0.9331306990881459,0.9557453416149069,0.968944099378882,0.9451737451737452,0.953416149068323,0.9544401544401544,0.9285714285714286,0.9536679536679536,0.9037267080745341,0.9583011583011583,0.0002455931996183992,0.0016956155921448231,0.02223134695186459,0.004434532798686531
0.0018045902252197266,0.009124135971069336,0.9548546691403834,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",4,0.9452887537993921,1.0,0.9782608695652174,1.0,0.9720496894409938,1.0,0.953416149068323,1.0,0.9254658385093167,1.0,0.0002454763988969928,0.0003754771718436844,0.01894720763028605,0.0
0.0018043994903564453,0.0092193603515625,0.9325912183055041,0.945428067819372,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",23,0.9240121580547113,0.9495341614906833,0.9658385093167702,0.9397683397683397,0.9503105590062112,0.9428571428571428,0.9316770186335404,0.9397683397683397,0.8913043478260869,0.9552123552123553,0.00025726230401717994,0.0005139420571335305,0.025243400326577462,0.006054204876129804
0.0016044139862060546,0.009224557876586914,0.9492888064316636,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",9,0.9422492401215805,1.0,0.9720496894409938,1.0,0.9627329192546584,1.0,0.953416149068323,1.0,0.9161490683229814,1.0,0.00020034315329881506,0.00040094856346249496,0.019269870810065357,0.0
0.001604175567626953,0.009430408477783203,0.9288806431663574,0.9393965083095518,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",29,0.9179331306990881,0.9417701863354038,0.9627329192546584,0.9312741312741313,0.9472049689440993,0.9374517374517375,0.9285714285714286,0.9382239382239382,0.8881987577639752,0.9482625482625483,0.0002009393481999329,0.0003695646098045767,0.02547631341359877,0.005574425079219361
0.0017034053802490235,0.009621763229370117,0.948051948051948,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",10,0.9422492401215805,1.0,0.968944099378882,1.0,0.9627329192546584,1.0,0.9503105590062112,1.0,0.9161490683229814,1.0,0.00023588824323134247,0.00048218978718892077,0.01844945392881581,0.0
