,0,1,2,3,4
10,0.33333333333333337,0.25,0.25,0.25,0.25
20,0.4,0.4,0.4,0.4,0.4
30,0.4,0.43333333333333335,0.43333333333333335,0.45,0.4583333333333333
50,0.5838709677419356,0.5714285714285713,0.5585839598997493,0.5723684210526315,0.5526315789473683
80,0.6857923497267757,0.6875,0.71875,0.7389112903225806,0.71875
130,0.6857448107448109,0.8218001261034048,0.7171605716687683,0.7514449348465742,0.7299679487179488
210,0.6960758377425043,0.8581500824628918,0.8146131115997802,0.8359847443650358,0.8205607476635516
340,0.8080809743252142,0.8526074716934179,0.8232860520094561,0.8493996516112978,0.8398695097673261
550,0.8087613948291053,0.8184564843780173,0.8038449098211873,0.8289305990035918,0.8392567489282818
890,0.8722856403287388,0.8598387698797191,0.8383223058496149,0.8524403177918459,0.8531773725328952
1440,0.854083826973963,0.867103031243728,0.8537784673912818,0.8552560216176125,0.8530916005353011
2330,0.8508401679171269,0.86206274258673,0.8444498310849747,0.8564570286388886,0.84982394454416
3770,0.8400063728952475,0.850753112803877,0.8348907747004823,0.8491542666876746,0.8400605110963344
6100,0.8472330155366309,0.8578702646900443,0.8244214439835631,0.8043989051369833,0.8242385123096461
9870,0.8590624447917374,0.8670043916604089,0.8344049622702439,0.8012856158714884,0.8324316636802124
15970,0.8361750442579545,0.8343713994064197,0.8591796267698865,0.8111340134417504,0.7921098216759602
18757,0.828972108784924,0.8292821851046206,0.8370948746621633,0.8077958923885196,0.7925460183320713
