,0,1,2,3,4
10,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0,1.0
340,1.0,1.0,1.0,1.0,1.0
550,1.0,1.0,1.0,1.0,1.0
890,1.0,1.0,1.0,1.0,1.0
1212,1.0,1.0,1.0,1.0,1.0
