mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__class_weight,param_DT__max_depth,param_DT__min_samples_leaf,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.04493937492370605,0.0020103931427001955,0.17494800239957553,0.7489675602388021,balanced,10,1,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 1}",19,0.1829240583018728,0.7677116970701197,0.1573405556736201,0.7924859261755268,0.1640380988279558,0.7419622145751216,0.17957094118736683,0.7471016229402232,0.1908802700572208,0.6955763404330189,0.0004118744156845235,9.514544400073416e-06,0.012391928622070482,0.03208853309695903
0.04531989097595215,0.001905345916748047,0.170085129857615,0.7476733483353104,balanced,10,2,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 2}",60,0.18375342265431835,0.7668480200688679,0.15510957559891003,0.7914366876386517,0.1654053557820517,0.7405974451038738,0.1753064434510873,0.7449188008781741,0.170846547614455,0.6945657879869847,0.0012114492840661953,0.00020082016024036415,0.00960227951171528,0.03212776620761051
0.046734952926635744,0.001900053024291992,0.16991370320242094,0.7464337267095621,balanced,10,3,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 3}",63,0.18147018124086658,0.7655568609258896,0.1556907088563212,0.789947518754128,0.1659359381708046,0.7393587928057533,0.1761761095887882,0.7439717790097312,0.17029278246901128,0.6933336820523084,0.002743881493205055,0.00037259671092338385,0.008844935402745047,0.032046450596519144
0.044918060302734375,0.002005767822265625,0.17356538641686142,0.7448740725196644,balanced,10,4,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 4}",28,0.18452316312602488,0.7640671225075907,0.1509133829524757,0.7870813505914435,0.16335000533998806,0.7379244714735685,0.17812263925285393,0.7413483430746846,0.1909312588606157,0.6939490749510346,0.0008741677205483137,5.091227651611e-07,0.014559204776070346,0.03099648557579249
0.044725465774536136,0.0020054340362548827,0.1716286582865009,0.7429739353463929,balanced,10,5,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 5}",49,0.18351942713813274,0.7624497952931725,0.15221004202833785,0.7853565444798752,0.1645757117793691,0.7349262372054159,0.17823593947574579,0.739836010352529,0.17960697635318287,0.692301089400972,0.0007315284929207786,3.2340669551493016e-07,0.011624602013868736,0.03104172679627173
0.045829486846923825,0.0019190311431884766,0.17320819536629845,0.7408962457541939,balanced,10,6,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 6}",34,0.18078037313405862,0.7604538451570825,0.1522381460817839,0.7836902425899654,0.1655189105170523,0.7332327926775268,0.17635988332037036,0.7388562438926908,0.19115895306846697,0.6882481044537041,0.0017536345747608203,0.0003589141284906839,0.013328561190173654,0.031775911513703105
0.04381637573242188,0.0020054340362548827,0.1733692670695303,0.739246045893844,balanced,10,7,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 7}",32,0.18426203467757643,0.7581616019592298,0.15151255548655135,0.7816580755079758,0.1632217359538994,0.7316675442596762,0.17747498905722575,0.7372710265149749,0.19038795887360963,0.6874719812273632,0.00024543751164328025,1.9073486328124998e-07,0.014183131233397811,0.03130005328400473
0.04401659965515137,0.0018051624298095702,0.173677390159747,0.7376598393264742,balanced,10,8,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 8}",27,0.18481976970048003,0.7567542525487062,0.15011046967881267,0.779169910550006,0.1646084876705915,0.7300466035850912,0.1776444662956666,0.7357469072650229,0.19121698392902506,0.6865815226835449,0.00020051016677143834,0.00024565165782874606,0.014731916739558527,0.03084897965212132
0.045220041275024415,0.001905536651611328,0.1747177064709297,0.7360923020929617,balanced,10,9,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 9}",21,0.1837225520993894,0.7550208734619526,0.15143999095615918,0.7770092354964929,0.17369696002386809,0.7288373040827392,0.17470334850673572,0.7337683810514374,0.19003558118080313,0.6858257163721869,0.0032085657664522463,0.0003754008636238334,0.01310423171228578,0.030388325055453653
0.04541988372802734,0.001806354522705078,0.1712284964072301,0.7347233238798736,balanced,10,10,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 10}",52,0.18410583110985468,0.7538257836864157,0.15043243699117698,0.7756861147851366,0.17438819185093205,0.7279838833115705,0.16942588538366307,0.7318516088626351,0.17778788947449092,0.6842692287536105,0.0031157819754040624,0.0002465302800617742,0.011443302963965027,0.030470105778394607
0.044528770446777347,0.0020054340362548827,0.17368546637407709,0.7332135218298182,balanced,10,11,"{'DT__class_weight': 'balanced', 'DT__max_depth': 10, 'DT__min_samples_leaf': 11}",26,0.18757865406201948,0.75178109746081,0.1505430097950607,0.7746237519745717,0.170873252565042,0.72570855034116,0.16918758357020885,0.7308402558381795,0.19025035881203672,0.6831139535343701,0.001029124779939561,0.00031681046437094306,0.014360812011479068,0.03043513021939272
