mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.012633562088012695,0.0007018566131591797,0.1261595547309833,0.12522662413966762,"(9,)",1e-05,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 1.0000000000000001e-05}",201,0.15501519756838905,0.1203416149068323,0.11180124223602485,0.1274131274131274,0.11490683229813664,0.1274131274131274,0.13354037267080746,0.12277992277992278,0.11490683229813664,0.12818532818532818,0.0019903535353114512,0.0002456125854029683,0.016484700769954487,0.0031037134374220982
0.02366299629211426,0.0006017684936523438,0.13543599257884972,0.13496558670471714,"(9,)",2.89426612472e-05,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 2.8942661247167517e-05}",197,0.1641337386018237,0.12888198757763975,0.13043478260869565,0.13667953667953667,0.12111801242236025,0.13590733590733592,0.13975155279503104,0.13513513513513514,0.12111801242236025,0.13822393822393822,0.0028254618407749644,0.0002005102801689856,0.016059283030027564,0.003208747285432785
0.03258647918701172,0.0008021831512451172,0.1614100185528757,0.16230820882994795,"(9,)",8.37677640068e-05,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 8.3767764006829236e-05}",165,0.16717325227963525,0.13509316770186336,0.1956521739130435,0.20463320463320464,0.12422360248447205,0.13745173745173744,0.15217391304347827,0.15289575289575288,0.16770186335403728,0.18146718146718147,0.016924358006430405,0.0002457878674875182,0.023248375891412397,0.026853560143683956
0.03358945846557617,0.0007019996643066406,0.22016079158936303,0.2243402719489676,"(9,)",0.000242446201708,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.00024244620170823283}",141,0.2613981762917933,0.22903726708074534,0.2080745341614907,0.23166023166023167,0.2111801242236025,0.21853281853281853,0.20496894409937888,0.19768339768339768,0.21428571428571427,0.24478764478764478,0.00682989890732048,0.000245593153327684,0.021070723263258265,0.01573565435714379
0.11440439224243164,0.0009025096893310547,0.6542980828695114,0.6555128420345812,"(9,)",0.00070170382867,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.00070170382867038299}",100,0.7811550151975684,0.7779503105590062,0.7546583850931677,0.7351351351351352,0.2204968944099379,0.21853281853281853,0.7888198757763976,0.78996138996139,0.7236024844720497,0.7559845559845559,0.04889322182301917,0.0002004386341584117,0.21751728034307477,0.2192957644554651
0.06467208862304688,0.0006016254425048828,0.7909709338280767,0.7934765821722344,"(9,)",0.0020309176209,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.0020309176209047371}",91,0.817629179331307,0.8229813664596274,0.8167701863354038,0.803088803088803,0.7919254658385093,0.7976833976833977,0.8043478260869565,0.806949806949807,0.7236024844720497,0.7366795366795367,0.006910298687911589,0.00020058162853122015,0.034881578153320665,0.029624505214926534
0.0714902400970459,0.000801992416381836,0.8787878787878788,0.8875297968776229,"(9,)",0.00587801607227,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.0058780160722749115}",72,0.8206686930091185,0.8222049689440993,0.8850931677018633,0.8888030888030888,0.9192546583850931,0.9181467181467181,0.906832298136646,0.8988416988416988,0.8633540372670807,0.9096525096525097,0.02187686639839821,0.0002457294786930281,0.03500469487068066,0.03412835721635278
0.058355188369750975,0.0008022785186767578,0.9226963512677798,0.934132952828605,"(9,)",0.0170125427985,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.017012542798525893}",45,0.9331306990881459,0.9301242236024845,0.906832298136646,0.9181467181467181,0.9254658385093167,0.938996138996139,0.953416149068323,0.9513513513513514,0.8944099378881988,0.932046332046332,0.01113194756305588,0.00024557368267924426,0.02051952531072641,0.010918859125292706
0.0338900089263916,0.0005014419555664062,0.9307359307359307,0.9429587040456606,"(9,)",0.0492388263171,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.049238826317067413}",23,0.9361702127659575,0.9510869565217391,0.9472049689440993,0.938996138996139,0.9285714285714286,0.9328185328185328,0.937888198757764,0.9505791505791505,0.9037267080745341,0.9413127413127413,0.0065336069648500965,1.784161275279017e-07,0.014710786783604475,0.007005339125124152
0.03569474220275879,0.0006016254425048828,0.9424860853432282,0.9604280678193721,"(9,)",0.14251026703,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.14251026703029993}",8,0.9544072948328267,0.967391304347826,0.9347826086956522,0.9459459459459459,0.9472049689440993,0.9613899613899614,0.9440993788819876,0.9652509652509652,0.9316770186335404,0.9621621621621622,0.009392019471019251,0.0002005815718526227,0.008303683677713438,0.00755527867089585
0.029979753494262695,0.0008023262023925781,0.9165120593692022,0.9289936209501427,"(9,)",0.41246263829,"{'MLP__hidden_layer_sizes': (9,), 'MLP__learning_rate_init': 0.41246263829013563}",52,0.8905775075987842,0.890527950310559,0.9472049689440993,0.938996138996139,0.9099378881987578,0.9482625482625483,0.9316770186335404,0.949034749034749,0.9037267080745341,0.9181467181467181,0.006547314192228665,0.00040098431118391437,0.020282972670414155,0.02222724391423607
