mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.68620228767395,0.002606964111328125,0.09382200858526808,0.09407867345070678,"(5,)",1e-05,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 1.0000000000000001e-05}",252,0.08661207366258465,0.09281686810725735,0.08952565932033191,0.09612932365820533,0.1008091813054553,0.09235281273592226,0.09073651373929331,0.0967528097929935,0.10143669820235612,0.0923415529591554,0.3526780287864345,0.00037464842747528287,0.006111807967332425,0.0019465100556850042
2.098079252243042,0.0025066852569580076,0.0955937657507859,0.09630862539817285,"(5,)",2.89426612472e-05,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 2.8942661247167517e-05}",250,0.09353039328939124,0.09585073528943079,0.09578425709906604,0.0967036643734088,0.09710657848044878,0.09624941375958963,0.09562695439370363,0.09770322240964806,0.09592223094190311,0.09503609115878696,0.26218526563776307,0.0003168081246725985,0.0011571662636321897,0.0008869576513687676
1.1303057193756103,0.002807426452636719,0.0985846674550355,0.09847721023759566,"(5,)",8.37677640068e-05,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 8.3767764006829236e-05}",242,0.09987662989724191,0.09886764704181632,0.09866586257144366,0.09875867730804776,0.09960948530355537,0.09900098450389964,0.09701194918198708,0.09942764046252399,0.0977568652373527,0.09633110187169058,0.1228355460852689,0.0002458073766706199,0.0010848704637955186,0.0010968229412759633
0.47165403366088865,0.0029078006744384767,0.09892995168215744,0.09895071119932837,"(5,)",0.000242446201708,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.00024244620170823283}",241,0.09996381571496522,0.0990098942016466,0.09896184889049961,0.09892670476681574,0.09907496961048572,0.098630041334153,0.09691047177364533,0.09935223892167809,0.09973762870607954,0.09883467677234845,0.025091935177773052,0.00037500532031708945,0.0010789133958672757,0.00023731691851062284
0.5827495574951171,0.0027071475982666016,0.10278742537383949,0.10360321194467445,"(5,)",0.00070170382867,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.00070170382867038299}",118,0.10729480471433857,0.10662135929983511,0.09867883002257508,0.09910144931162021,0.10665745543500418,0.10694198568911367,0.09717611825309302,0.09961122559156688,0.10412518783313576,0.1057400398312364,0.2770830292916133,0.0005112864632581172,0.0041342261146565485,0.0034935505961290825
0.40798516273498536,0.0029073715209960937,0.10663509742773632,0.10678563437774777,"(5,)",0.0020309176209,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.0020309176209047371}",94,0.10653427408699327,0.10655982220066797,0.10504294170498388,0.10630516887795136,0.10667601002665217,0.1071310034516995,0.10905203408009424,0.10612462971667459,0.10587097332419973,0.10780754764174542,0.06411722799465665,0.00020079638210036783,0.001339401365665331,0.0006135718236929102
0.30581326484680177,0.0029076576232910157,0.10712826023152433,0.10735866614630382,"(5,)",0.00587801607227,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.0058780160722749115}",90,0.10722572047687,0.10682378173218357,0.10715284226898307,0.10741033250685168,0.10612986704115608,0.10762198916236167,0.10952309017024939,0.10709746428822385,0.10560964108710283,0.10783976304189832,0.0618319667222673,0.00037509465716769344,0.001344944302335766,0.0003627093584902166
0.3805114269256592,0.0026070117950439454,0.1084701056895964,0.10923856569734962,"(5,)",0.0170125427985,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.017012542798525893}",88,0.1,0.1,0.11357131531858025,0.11384930262320618,0.10495732255166218,0.107097460504844,0.11368521232080002,0.111886868071375,0.11014655990956047,0.11335919728732291,0.12440171244855527,0.000375272921710337,0.005294609141767871,0.00519975831656878
0.23462371826171874,0.0025066375732421876,0.10392932678236239,0.10376550441558359,"(5,)",0.0492388263171,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.049238826317067413}",113,0.1,0.10000178784001149,0.10637598435600655,0.10639806929328016,0.10000000000000002,0.09999999999999999,0.10213015695575327,0.10071578895946381,0.11114898525710609,0.11171187598516241,0.11280653048936443,0.00031710960247247674,0.004294170130752901,0.004641563729723072
0.2299112319946289,0.0029078006744384767,0.1047525002500105,0.10565632839050702,"(5,)",0.14251026703,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.14251026703029993}",106,0.10363965828133782,0.10476711307031832,0.10485380944830763,0.10555009736588503,0.1047494262717222,0.10681068205455457,0.10575939997280841,0.10483595613114967,0.10476148733994273,0.10631779333062759,0.039015837421961734,0.00020029552634761794,0.000672786001635102,0.0008056137795348765
