param_SVM__max_iter,test acc,train acc
1,0.11270436048899682,0.15901063375228147
2,0.10299529873697219,0.1391563548025375
4,0.1031129092051617,0.21394583180192434
8,0.15560266523107275,0.30631089145086854
16,0.1618803258527574,0.3388757394206952
32,0.17832027393654784,0.4406137934003508
64,0.18178456150719785,0.5303302396617597
128,0.17580811978493754,0.5407372933474558
256,0.18403622457845084,0.60807648685483
512,0.18528603259799226,0.6557426935788377
1024,0.18944121318179252,0.6966780228165902
2048,0.1887558416518312,0.7153973335471853
2100,0.18708207433104057,0.7081934697563906
2200,0.18834617674896992,0.7145745577800245
2300,0.1875929613489893,0.7123647186025269
2400,0.187744320247409,0.7166630749856923
2500,0.18850881589438823,0.7139262748724554
2600,0.1881293115272779,0.712704717426685
2700,0.18785479083360748,0.7070231403315922
2800,0.1868106570860696,0.7096435213020476
2900,0.1868402571968065,0.7082384874815562
3000,0.1875958085522078,0.7114233467081941
