mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.022765731811523436,0.39204182624816897,0.14492961592342202,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",1,0.1485075458959334,1.0,0.1459695907070613,1.0,0.13845040776649742,1.0,0.13243310326948948,1.0,0.159292147014622,1.0,0.0034200478261732507,0.009326736947605347,0.009144395471427598,0.0
0.022760581970214844,0.40087547302246096,0.14492961592342202,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",1,0.1485075458959334,1.0,0.1459695907070613,1.0,0.13845040776649742,1.0,0.13243310326948948,1.0,0.159292147014622,1.0,0.0018915624097303393,0.03183766385713369,0.009144395471427598,0.0
0.02256040573120117,0.6903466701507568,0.12804566500072914,0.19918488764638673,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",6,0.15041165664874964,0.18836549399080024,0.13041620363610457,0.20290023444671243,0.11839799875410054,0.19773028429536682,0.12061919442958478,0.20228893492487407,0.12035772344507305,0.20463949057418002,0.0027648345304205116,0.047853975734329174,0.011946060899425294,0.005871401100878897
0.02727227210998535,0.6905908107757568,0.13402765166689914,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",5,0.15169641833137373,1.0,0.1377400742882148,1.0,0.12639155964400525,1.0,0.11924983682810392,1.0,0.13504192663442857,1.0,0.008012657967206328,0.04839046634028331,0.01098968410299426,0.0
0.021163415908813477,0.8154929637908935,0.11742709674936254,0.1584130528531112,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",8,0.11796759433541074,0.14768957790179746,0.1281774372702897,0.15863976243346858,0.11032937010124155,0.16633094282930083,0.11088927745970362,0.15503827045659901,0.11976990153665507,0.16436671064439007,0.0005776010279051679,0.024833427877663322,0.0065495561390160285,0.006701827978391976
0.022359228134155272,0.8162870883941651,0.12169940128242153,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",7,0.12080457430232285,1.0,0.1320770982832797,1.0,0.11096518866572988,1.0,0.12069830821775772,1.0,0.12395402649484817,1.0,0.002625792042572927,0.024477167545043636,0.006780072178895684,0.0
0.02245955467224121,0.9085395336151123,0.11121997944412078,0.13897703819388846,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",65,0.11208032394308105,0.13841660862175115,0.11015185319410785,0.13434557240449008,0.11127275438477278,0.1402316574917961,0.11177772406604529,0.1362852041947618,0.11081665710104657,0.14560614825664323,0.0015340151485937997,0.043259033527925976,0.0006867584159855541,0.0038608210719831746
0.02115907669067383,0.8778834342956543,0.11207934846791012,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",61,0.11368241885870206,1.0,0.11139080160366033,1.0,0.1119546291075735,1.0,0.1119534117860326,1.0,0.11141377903107323,1.0,0.00019908140375759004,0.02801161099212699,0.0008390615537636881,0.0
0.02256002426147461,0.9746405601501464,0.11177167126604186,0.13178538783897156,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",63,0.11235216852997243,0.13067322047439822,0.11221458394678625,0.1298302594383688,0.11123453154846845,0.13298103461728344,0.11200613320845353,0.13008254152588886,0.11105001037167628,0.13535988313891842,0.0019025444001090272,0.031347273791420216,0.0005286515989573169,0.0021055031105878083
0.0214569091796875,1.0001072406768798,0.11304005591793022,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",48,0.11360082018149534,1.0,0.1119423052239764,1.0,0.11295321902345844,1.0,0.11363909995921263,1.0,0.11306488296776501,1.0,0.0013227039074592461,0.07298004237514509,0.0006143083667877822,0.0
0.02346978187561035,1.0697788715362548,0.11271726082422148,0.1289675514513111,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",57,0.1134723902035475,0.12849730632736608,0.11284902640301403,0.12805284672349138,0.11246474061322644,0.13097317632782798,0.11302151154886171,0.12782727849004683,0.1117774257159385,0.1294871493878233,0.0029679035940861002,0.02040687564153583,0.0005704272766101486,0.00115330401913904
0.020955657958984374,1.0672937870025634,0.11276201308967537,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",54,0.11366331563032199,1.0,0.11366165334058152,1.0,0.11339607541129659,1.0,0.11286886112663715,1.0,0.11021714020579369,1.0,0.000374954270660639,0.015745109133018974,0.0013043953832258405,0.0
