param_SVM__max_iter,test acc,train acc
1,0.10226328472048786,0.09719238840964872
2,0.11394762060998198,0.09906330465255307
4,0.1092546643466307,0.10082467683968574
8,0.09346012562145636,0.09884704525394666
16,0.10024182043544555,0.09560197881002287
32,0.10717076356608736,0.09722307812341259
64,0.09968950046454839,0.0986384113740283
128,0.10030472613499009,0.10249308103833776
256,0.10001315785303339,0.099342292532779
512,0.09815019810735763,0.09924523307482146
1024,0.09901114287970944,0.10100927688630094
2048,0.0986048905641361,0.10019204315240571
2100,0.10098861131360608,0.11394642377811458
2200,0.09972738332261029,0.10002740356480644
2300,0.09931660816620443,0.09928064246242853
2400,0.09841330530576578,0.10129815362437336
2500,0.10001647908770009,0.11077446344170987
2600,0.1003484827594056,0.09787392162813967
2700,0.09924358225123706,0.1030424444675452
2800,0.10205073169768646,0.09822483502093417
2900,0.10075145798085541,0.09868219988249399
3000,0.09968172198292227,0.09868997531716175
