,0,1,2,3,4
10,1.0,1.0,1.0,1.0,1.0
20,0.8,1.0,1.0,1.0,1.0
30,0.8,0.8666666666666667,0.8333333333333334,0.875,0.8666666666666667
50,0.6114695340501792,0.7492690058479531,0.6146616541353381,0.7204469507101086,0.4046574770258979
80,0.5018214936247722,0.5235503072196621,0.805213133640553,0.6435483870967742,0.7036098310291858
130,0.3756512006512006,0.5502574611181169,0.4985419293820933,0.4251655107187894,0.6076870533837746
210,0.3211199294532628,0.469079851566795,0.2862229704966099,0.47963624702217345,0.2834283947223749
340,0.3696730305025237,0.4847113350752768,0.29707135747169344,0.4091739766081871,0.486581591389822
550,0.26797842197586663,0.311594832580234,0.22669616305565213,0.37639564747228976,0.22060933456918858
890,0.15710023943570828,0.20121297438448169,0.11432407603702921,0.32631986297451643,0.3224919238777288
1440,0.21778715095410536,0.1104867782409925,0.16278514268332575,0.10391357399664014,0.2304571276382231
2330,0.22226746808300485,0.11314362838093119,0.101043454906052,0.15773010475637855,0.11342310733495084
3770,0.11478650501632588,0.118627532377991,0.1472512971909107,0.10945001019237326,0.11148461263195561
6100,0.10821674105429459,0.10497663027543505,0.1120424536037825,0.11097778083228418,0.11264711173906812
9870,0.09556049989240618,0.12894651816441954,0.11035014699466264,0.10622291526891843,0.099474730654353
15970,0.10060173973314064,0.10125260096012917,0.0979456494217941,0.10110126253531428,0.13008505266454345
18757,0.10322598702307016,0.09981789404505542,0.12724247578005846,0.09947557373979408,0.10014997498723766
