mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0022060394287109373,0.0005012035369873046,0.8256029684601113,0.8259585361759274,1,{'SVM__max_iter': 1},22,0.8814589665653495,0.8687888198757764,0.8478260869565217,0.8401544401544402,0.8416149068322981,0.8478764478764479,0.8726708074534162,0.871042471042471,0.6832298136645962,0.7019305019305019,0.00024590462197697244,9.536743164062499e-08,0.07253836892713553,0.06313773231075648
0.0026068687438964844,0.0005013942718505859,0.8324056895485467,0.831512506295115,2,{'SVM__max_iter': 2},21,0.8419452887537994,0.8633540372670807,0.7888198757763976,0.7791505791505792,0.8198757763975155,0.816988416988417,0.8913043478260869,0.8787644787644787,0.8198757763975155,0.8193050193050193,0.00020051039356646874,1.5078914929239175e-07,0.033913866156030766,0.035632500108682054
0.003509330749511719,0.00040135383605957033,0.860235003092146,0.8703055229142185,4,{'SVM__max_iter': 4},19,0.8905775075987842,0.889751552795031,0.8944099378881988,0.8911196911196911,0.860248447204969,0.8694980694980695,0.8540372670807453,0.8602316602316602,0.8012422360248447,0.8409266409266409,0.00031726042027868087,0.00020067699592582477,0.03347478725632312,0.018850098532461116
0.005314064025878906,0.0005012989044189453,0.8441558441558441,0.8526431089474569,8,{'SVM__max_iter': 8},20,0.8024316109422492,0.8377329192546584,0.8354037267080745,0.8247104247104247,0.84472049689441,0.864092664092664,0.8913043478260869,0.8602316602316602,0.8478260869565217,0.8764478764478765,0.0006802649111666305,1.9073486328125e-07,0.028546149217083143,0.018750434580169804
0.0077206134796142575,0.0005011558532714844,0.8658008658008658,0.8798657042135304,16,{'SVM__max_iter': 16},18,0.8753799392097265,0.8757763975155279,0.8913043478260869,0.8903474903474904,0.8509316770186336,0.8957528957528957,0.8757763975155279,0.8872586872586873,0.8354037267080745,0.8501930501930502,0.0006802016561107904,0.0003171096526638172,0.019900561150268906,0.016211821117702845
0.011630964279174805,0.0005013465881347657,0.8670377241805813,0.8862338425381904,32,{'SVM__max_iter': 32},17,0.8905775075987842,0.9091614906832298,0.9006211180124224,0.901930501930502,0.8291925465838509,0.871042471042471,0.8757763975155279,0.8849420849420849,0.8385093167701864,0.864092664092664,0.0008625149541511917,1.784161275279017e-07,0.028281146752746057,0.01729011482961096
0.019852638244628906,0.000601959228515625,0.8936301793444651,0.8973451401712271,64,{'SVM__max_iter': 64},16,0.9088145896656535,0.9013975155279503,0.8819875776397516,0.8679536679536679,0.906832298136646,0.9127413127413128,0.8695652173913043,0.8888030888030888,0.9006211180124224,0.9158301158301159,0.002426966146301367,0.00020065324614702574,0.015286206975839186,0.01750419082186214
0.029779052734375,0.0006016731262207031,0.8954854669140383,0.9089373845895585,128,{'SVM__max_iter': 128},15,0.9057750759878419,0.9099378881987578,0.8944099378881988,0.8988416988416988,0.8913043478260869,0.9088803088803089,0.8944099378881988,0.901930501930502,0.8913043478260869,0.9250965250965251,0.002364870160920326,0.00020079626886439355,0.005381915515025308,0.009090009486791737
0.04682464599609375,0.0005014419555664062,0.9121830550401979,0.9191405069665939,256,{'SVM__max_iter': 256},4,0.9148936170212766,0.9192546583850931,0.9130434782608695,0.9088803088803089,0.9037267080745341,0.9204633204633205,0.922360248447205,0.9266409266409267,0.906832298136646,0.9204633204633205,0.001810447196624725,3.814697265625e-07,0.006496849634629277,0.005745270432303665
0.0824190616607666,0.000601959228515625,0.9115646258503401,0.9216165855296291,512,{'SVM__max_iter': 512},9,0.9209726443768997,0.9239130434782609,0.9192546583850931,0.9196911196911197,0.9099378881987578,0.9258687258687258,0.9130434782608695,0.9111969111969112,0.8944099378881988,0.9274131274131274,0.0037330991401940735,0.00020065313283027458,0.009452468323270864,0.005817754657520816
0.1509246349334717,0.0005015850067138672,0.9109461966604824,0.9225457445022662,1024,{'SVM__max_iter': 1024},13,0.9088145896656535,0.9262422360248447,0.9316770186335404,0.9166023166023166,0.906832298136646,0.9274131274131274,0.9161490683229814,0.9166023166023166,0.8913043478260869,0.9258687258687258,0.005357338937935596,9.536743164062499e-08,0.013118419225898573,0.004879474183620087
0.26220293045043946,0.0005961894989013672,0.9146567717996289,0.9219263051871748,2048,{'SVM__max_iter': 2048},1,0.9118541033434651,0.9246894409937888,0.9316770186335404,0.9142857142857143,0.9099378881987578,0.9281853281853282,0.9192546583850931,0.9181467181467181,0.9006211180124224,0.9243243243243243,0.013754389496711992,0.00020381810712542263,0.010351743607639687,0.00500449181594316
0.2690145015716553,0.000501251220703125,0.9121830550401979,0.9220832633876113,2100,{'SVM__max_iter': 2100},4,0.9088145896656535,0.9270186335403726,0.9254658385093167,0.9127413127413128,0.9099378881987578,0.9289575289575289,0.9161490683229814,0.9158301158301159,0.9006211180124224,0.9258687258687258,0.010429457506246836,5.352483825837052e-07,0.0082582251358944,0.006516395140261778
0.28285808563232423,0.0004956722259521484,0.9121830550401979,0.9226993453080409,2200,{'SVM__max_iter': 2200},4,0.9088145896656535,0.9254658385093167,0.9285714285714286,0.9142857142857143,0.906832298136646,0.9281853281853282,0.9161490683229814,0.918918918918919,0.9006211180124224,0.9266409266409267,0.009173129322618857,1.0859959735303095e-05,0.009552242299524429,0.005260539265698432
