param_MLP__max_iter,test acc,train acc
1,0.810966810966811,0.7866419294990723
2,0.8513708513708513,0.8528138528138528
4,0.9235209235209235,0.9134199134199135
8,0.9595959595959596,0.9709338280766853
16,0.9538239538239538,0.9666048237476809
32,0.9595959595959596,0.9647495361781077
64,0.9595959595959596,0.9647495361781077
128,0.9595959595959596,0.9647495361781077
256,0.9595959595959596,0.9647495361781077
512,0.9595959595959596,0.9647495361781077
1024,0.9595959595959596,0.9647495361781077
2048,0.9595959595959596,0.9647495361781077
4096,0.9595959595959596,0.9647495361781077
